slew_s,cload_F,tpHL_s,tpLH_s
50p,5f,2.65284E-11,2.79404E-11
50p,10f,3.64633E-11,3.86303E-11
50p,25f,6.5375E-11,7.03048E-11
50p,50f,1.12908E-10,1.22657E-10
50p,100f,2.07621E-10,2.27064E-10
100p,5f,3.53505E-11,3.8368E-11
100p,10f,4.75655E-11,5.09363E-11
100p,25f,7.66173E-11,8.23977E-11
100p,50f,1.24251E-10,1.34782E-10
100p,100f,2.19045E-10,2.39237E-10
200p,5f,4.64378E-11,5.21047E-11
200p,10f,6.40311E-11,7.06033E-11
200p,25f,9.95666E-11,1.07177E-10
200p,50f,1.47111E-10,1.59284E-10
200p,100f,2.41936E-10,2.63666E-10
500p,5f,6.37569E-11,7.60339E-11
500p,10f,9.2007E-11,1.0647E-10
500p,25f,1.49546E-10,1.6709E-10
500p,50f,2.14336E-10,2.3357E-10
500p,100f,3.11298E-10,3.37855E-10
