corner,slew_ps,cload_fF,tpHL_ps,tpLH_ps,tfall_ps,trise_ps,e_hl_fJ,e_lh_fJ,p_leak_lo_pW,p_leak_hi_pW
tt,20.0,25.0,140.4926,116.23089999999999,237.78939999999997,233.0447,-0.28623000000000004,89.10249999999999,3.304949,108.61359999999999
tt,20.0,5.0,43.17808,35.53919,59.238299999999995,59.332429999999995,-0.458238,24.1724,3.304982,108.61359999999999
tt,20.0,10.0,67.6712,55.81192,103.87809999999999,102.7619,-0.36181100000000005,40.4453,3.305006,108.61359999999999
tt,20.0,1.0,22.99975,18.96506,23.54616,24.60011,-0.7309410000000001,11.0025,3.304986,108.61359999999999
tt,50.0,1.0,29.01289,26.37748,25.34523,28.187240000000003,-1.06241,10.8131,3.304986,108.61359999999999
tt,20.0,50.0,261.55449999999996,216.743,460.979,450.18449999999996,-0.257387,170.124,3.30486,108.61359999999999
tt,50.0,5.0,49.366189999999996,42.87795,59.41256,60.21237,-0.6987760000000001,24.0084,3.304982,108.61359999999999
tt,50.0,10.0,74.05906999999999,63.21854,103.875,102.7629,-0.5296219999999999,40.3275,3.305006,108.61370000000001
tt,50.0,50.0,268.27250000000004,224.30720000000002,460.9796,450.1843,-0.302126,170.091,3.30486,108.61359999999999
tt,100.0,5.0,60.2215,55.47813,63.951859999999996,66.70068,-0.94653,23.8784,3.304982,108.61359999999999
tt,100.0,1.0,38.40672,36.33216,33.47075,38.638220000000004,-1.27827,10.751900000000001,3.304986,108.61359999999999
tt,50.0,25.0,147.10649999999998,123.74140000000001,237.78879999999998,233.04460000000003,-0.368991,89.04159999999999,3.304949,108.61359999999999
tt,100.0,10.0,84.9654,75.75713,105.75959999999999,106.3378,-0.72957,40.2052,3.305006,108.61359999999999
tt,100.0,25.0,158.20260000000002,136.3178,237.7891,233.09050000000002,-0.485787,88.9629,3.304949,108.61370000000001
tt,100.0,50.0,279.49350000000004,236.9335,460.9791,450.1846,-0.369577,170.04299999999998,3.30486,108.61370000000001
tt,200.0,1.0,50.46664,49.33365,49.90174,58.11965,-1.35961,10.8424,3.304986,108.61370000000001
tt,200.0,5.0,80.84134,77.75064,80.36397,86.25516,-1.1558899999999999,23.8397,3.304982,108.61370000000001
tt,200.0,10.0,107.4565,101.2891,117.8327,121.39820000000002,-0.95934,40.1154,3.305006,108.61359999999999
tt,200.0,25.0,180.6459,161.6696,241.90409999999997,239.7347,-0.660783,88.8679,3.304949,108.61359999999999
tt,200.0,50.0,302.0394,262.2743,460.9796,450.6739,-0.48140499999999997,169.97299999999998,3.30486,108.61359999999999
tt,500.00000000000006,5.0,118.8044,119.32609999999998,132.3398,145.0919,-1.12064,24.2131,3.304982,108.61359999999999
tt,500.00000000000006,10.0,161.2287,159.1995,173.42399999999998,184.2613,-1.08103,40.3203,3.305006,108.61370000000001
tt,500.00000000000006,1.0,70.37681,71.52432,85.64465,98.7928,-1.04362,11.4701,3.304986,108.61370000000001
