slew_s,cload_F,tpHL_s,tpLH_s
50p,5f,2.40169E-11,3.08901E-11
50p,10f,3.15713E-11,4.18361E-11
50p,25f,5.3294E-11,7.41574E-11
50p,50f,8.90156E-11,1.26988E-10
50p,100f,1.60167E-10,2.3173E-10
100p,5f,3.05375E-11,4.21551E-11
100p,10f,4.07595E-11,5.39093E-11
100p,25f,6.34776E-11,8.58126E-11
100p,50f,9.92367E-11,1.38676E-10
100p,100f,1.70437E-10,2.43599E-10
200p,5f,3.77469E-11,5.78711E-11
200p,10f,5.22528E-11,7.4932E-11
200p,25f,8.28355E-11,1.10374E-10
200p,50f,1.19938E-10,1.62774E-10
200p,100f,1.91074E-10,2.67625E-10
500p,5f,4.52832E-11,8.79622E-11
500p,10f,6.8059E-11,1.15331E-10
500p,25f,1.16514E-10,1.72634E-10
500p,50f,1.72836E-10,2.37462E-10
500p,100f,2.5396E-10,3.41568E-10
